TPID,Customer Name,AE Covered,SubSegment,Subsidiary,Sales Territory,Vertical,Vertical Category,AE,Azure Motion,Azure Core Specialist,App Inno,Azure D&AI Specialist,Biz Apps Specialist,Low Code Motion,Low Code Specialist,Modern Work Motion,Modern Work Specialist,Security Specialist,Surface Specialist
1103013,Heska Corp,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Health Provider,Svcs Not Elsewhere Classified,PASTURGI,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
10964721,"Innova Systems Invernational, LLC",SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.103,"At scale SW, data & platforms","At scale SW, data & platforms",ERJAME,SMC Grow Azure,"MICHELLEKING, GEPAULDI",ERHALDAN,BRIANJISHI,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,APAULHUS,JASONALV
1091192,FARMERS & MERCHANTS BANK OF LONG BEACH,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Banking,Commercial Banking,ANSCOBEE,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
10779443,MD7 LLC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Telecommunications,Comms Service Provider,CHCAYWOO,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow MW,KITUNNEY,,DAPATTER
10715612,COSERVER ELECTRIC CUSTOM SERVICE,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Power & Utilities,Power & Utilities,PASTURGI,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
10705826,CARMEL DEVELOPMENT & MANAGEMENT CO INC,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.B.111,Real Estate,Construction of Buildings,,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
10597497,"MOBILITIE PARTNERS, LLC",SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Telecommunications,Comms Service Provider,LYVINSON,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Grow Security,,APAULHUS,JASONALV
10382582,The Richards Group Inc,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.SWA.200.NonAE.DS.A.321,Media & Entertainment,Sport Teams & Clubs,,SMC Acq Azure,DASTENVO,,,MSINGLEY,SMC Low Code,CRLEMUS,SMC Grow MW,KITUNNEY,,RENYABRAHAM
10283260,HAMILTON COMPANY,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.101,Health Provider,Svcs Not Elsewhere Classified,LYVINSON,SMC Grow Azure,"MICHELLEKING, KAAMBUEH",MFRYE,BRIANJISHI,ALICIACARLO,SMC Low Code,CRLEMUS,SMC Acq MW,ALHOPKIN,,JASONALV
10209516,CVR COFFEYVILLE RESOURCES LLC,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Oil & Gas,Oil & Gas,PASTURGI,SMC Acq Azure,JAMESVINSON,,,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
10064899,BRISTOW HELICOPTERS,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.103,Transport & Logistics,Air Transportation,PASTURGI,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,RODKELLY,DAPATTER
10064832,DISCOVERY LAND CO,SMC AE Covered,SM&C Commercial - Corporate,United States,US.DMA.100.DS.102,Hospitality,Other Amusement and Recreation,ANSCOBEE,SMC Acq Azure,ZAJOHNS,,,DBRAHAM,SMC Low Code,NATEKIEFERT,SMC Acq MW,ALHOPKIN,,JASONALV
10063739,FLATIRONS SOLUTIONS,SMC Non AE Covered,SM&C Commercial - Corporate,United States,US.DMA.200.NonAE.DS.B.111,IT Services & Business Advisory,Managed IT Services,,SMC Acq Azure,ZAJOHNS,,,ALICIACARLO,SMC Low Code,NATEKIEFERT,SMC Grow Security,,MARIDEEADLER,JASONALV
10055587,ULTERRA DRILLING,SMC AE Covered,SM&C Commercial - Corporate,United States,US.SWA.100.DS.104,Oil & Gas,Oil & Gas,CHCAYWOO,SMC Grow Azure,"MICHELLEKING, KHANRAHAN",ERHALDAN,MWILLEY,JAMIEBUTLER,SMC Low Code,SEYOUNG,SMC Grow Security,,BRREEVE,DAPATTER
,,,,,,,,,,,,,,,,,,,
"Applied filters:
Sales Territory is US.DMA.100.DS.101, US.DMA.100.DS.102, US.DMA.100.DS.103, US.DMA.200.NonAE.DS.111, US.DMA.200.NonAE.DS.A.111, US.SWA.100.DS.103, US.SWA.100.DS.104, US.SWA.200.NonAE.DS.312, US.SWA.200.NonAE.DS.A.311, US.SWA.200.NonAE.DS.A.321, or US.DMA.200.NonAE.DS.B.111
Sales Unit is USA - Corporate - Commercial West",,,,,,,,,,,,,,,,,,,
